activity_name,date,type,total_distance_km,total_time_seconds,moving_time_seconds,average_speed_km_h,max_speed_km_h,total_elevation_gain,average_heart_rate,max_heart_rate,suffer_score,average_watts,max_watts,total_steps,average_stride_length,average_cadence
Course à pied dans l'après-midi,2024-09-17T15:35:52Z,Run,9.5,2844,2844,12.03,19.21,13.5,155.9,181.0,79.0,N/A,N/A,N/A,N/A,N/A
Trail dans l'après-midi,2024-09-15T15:14:11Z,Run,10.03,5028,3506,10.3,19.6,315.0,147.5,174.0,64.0,N/A,N/A,N/A,N/A,N/A
Course à pied dans l'après-midi,2024-09-14T15:38:15Z,Run,5.37,1593,1590,12.15,24.14,11.5,158.9,190.0,51.0,N/A,N/A,N/A,N/A,N/A
Course à pied dans l'après-midi,2024-09-12T13:36:55Z,Run,8.2,2601,2601,11.35,20.04,17.7,162.1,184.0,94.0,N/A,N/A,N/A,N/A,N/A
Course à pied en soirée,2024-09-10T18:53:48Z,Run,8.13,2786,2786,10.5,16.87,11.2,140.0,157.0,15.0,N/A,N/A,N/A,N/A,N/A
Course à pied le matin,2024-09-08T08:37:02Z,Run,5.33,1911,1907,10.07,18.58,6.8,144.3,161.0,14.0,N/A,N/A,N/A,N/A,N/A
Course à pied dans l'après-midi,2024-09-07T14:59:41Z,Run,10.35,3626,3178,11.72,19.86,84.8,166.3,184.0,95.0,N/A,N/A,N/A,N/A,N/A
Course à pied en soirée,2024-09-05T19:29:48Z,Run,8.16,3335,3302,8.9,17.02,64.7,139.3,152.0,17.0,N/A,N/A,N/A,N/A,N/A
Course à pied en soirée,2024-09-03T19:06:40Z,Run,7.61,2598,2566,10.67,25.18,4.9,145.8,183.0,29.0,N/A,N/A,N/A,N/A,N/A
Course à pied dans l'après-midi,2024-08-29T17:39:03Z,Run,8.38,2545,2503,12.05,19.44,17.8,164.5,186.0,74.0,N/A,N/A,N/A,N/A,N/A
Course à pied le matin,2024-08-26T10:56:12Z,Run,7.72,4143,2898,9.58,27.14,22.6,149.9,166.0,40.0,N/A,N/A,N/A,N/A,N/A
Course à pied le midi,2024-08-23T11:32:07Z,Run,7.14,3018,2273,11.3,19.32,15.1,163.6,182.0,60.0,N/A,N/A,N/A,N/A,N/A
