activity_name,date,type,total_distance_km,total_time_seconds,moving_time_seconds,average_speed_km_h,max_speed_km_h,calories,total_elevation_gain,total_elevation_loss,average_grade,average_heart_rate,max_heart_rate,suffer_score,heart_rate_zone1_time,heart_rate_zone2_time,heart_rate_zone3_time,heart_rate_zone4_time,heart_rate_zone5_time,average_watts,max_watts,normalized_power,total_steps,average_stride_length,average_cadence,start_latitude,start_longitude,start_altitude,end_latitude,end_longitude,end_altitude
W9 S2,2024-10-17T17:06:55Z,Run,12.95,4506,4500,10.36,13.68,N/A,21.0,0,N/A,135.9,157.0,39.0,N/A,N/A,N/A,N/A,N/A,247.2,285,N/A,N/A,N/A,79.6,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied dans l'après-midi,2024-10-16T17:12:28Z,Run,10.02,3382,3367,10.71,19.44,N/A,106.0,0,N/A,147.0,161.0,80.0,N/A,N/A,N/A,N/A,N/A,257.9,409,N/A,N/A,N/A,79.0,N/A,N/A,N/A,N/A,N/A,N/A
W9 S1,2024-10-15T07:01:08Z,Run,13.51,4009,4005,12.15,15.84,N/A,20.0,0,N/A,158.4,182.0,153.0,N/A,N/A,N/A,N/A,N/A,289.2,364,N/A,N/A,N/A,80.1,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied le midi,2024-10-13T11:10:57Z,Run,16.11,5401,5397,10.74,15.84,N/A,64.0,0,N/A,146.0,161.0,126.0,N/A,N/A,N/A,N/A,N/A,255.5,329,N/A,N/A,N/A,80.5,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied dans l'après-midi,2024-10-12T16:45:18Z,Run,7.43,2694,2694,9.93,14.4,N/A,28.0,0,N/A,140.0,153.0,40.0,N/A,N/A,N/A,N/A,N/A,234.9,294,N/A,N/A,N/A,79.2,N/A,N/A,N/A,N/A,N/A,N/A
10x1min @3’00 (plus ou moins),2024-10-10T17:33:54Z,Run,9.45,2961,2915,11.67,21.24,N/A,11.0,0,N/A,153.1,180.0,88.0,N/A,N/A,N/A,N/A,N/A,277.3,504,N/A,N/A,N/A,79.7,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied le midi,2024-10-08T12:19:26Z,Run,6.79,2412,2400,10.19,13.68,N/A,14.0,0,N/A,148.0,157.0,61.0,N/A,N/A,N/A,N/A,N/A,243.5,286,N/A,N/A,N/A,78.9,N/A,N/A,N/A,N/A,N/A,N/A
Sortie (trop ?) longue du dimanche,2024-10-06T08:03:02Z,Run,26.32,8990,8787,10.79,15.84,N/A,299.0,0,N/A,151.5,169.0,238.0,N/A,N/A,N/A,N/A,N/A,270.0,817,N/A,N/A,N/A,79.3,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied le midi,2024-10-05T11:04:04Z,Run,6.81,2159,1860,13.18,21.6,N/A,10.0,0,N/A,157.1,183.0,65.0,N/A,N/A,N/A,N/A,N/A,311.3,426,N/A,N/A,N/A,79.9,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied le matin,2024-10-03T10:11:47Z,Run,11.66,4201,4197,10.0,12.24,N/A,30.0,0,N/A,147.0,156.0,103.0,N/A,N/A,N/A,N/A,N/A,238.4,277,N/A,N/A,N/A,77.7,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied dans l'après-midi,2024-10-01T15:54:38Z,Run,10.88,3535,3480,11.25,16.92,N/A,20.0,0,N/A,149.7,179.0,90.0,N/A,N/A,N/A,N/A,N/A,268.8,387,N/A,N/A,N/A,79.8,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied le matin,2024-09-29T09:41:04Z,Run,20.29,6438,6430,11.36,15.48,N/A,94.0,0,N/A,149.9,170.0,165.0,N/A,N/A,N/A,N/A,N/A,271.0,361,N/A,N/A,N/A,79.6,N/A,N/A,N/A,N/A,N/A,N/A
Course à pied le midi,2024-09-26T12:49:05Z,Run,10.79,3918,3896,9.97,13.68,N/A,26.0,0,N/A,140.3,153.0,62.0,N/A,N/A,N/A,N/A,N/A,237.1,294,N/A,N/A,N/A,79.9,N/A,N/A,N/A,N/A,N/A,N/A
