activity_name,date,average_heart_rate,total_time_seconds,total_distance_km,total_elevation_gain,average_speed_km_h,max_speed_km_h,calories
Night Run,2024-07-16T21:18:04Z,N/A,1367,5.0,7.2,14.64,27.4,N/A
Course à pied en soirée,2024-07-05T18:58:51Z,167.7,3489,10.54,72.7,11.26,20.32,N/A
Course à pied en soirée,2024-07-03T18:24:26Z,139.5,1443,3.82,18.7,9.66,14.58,N/A
Course à pied le midi,2024-06-30T11:39:58Z,165.7,4054,12.03,64.7,11.24,24.48,N/A
Course à pied le midi,2024-06-28T12:10:30Z,132.3,3488,7.62,47.3,8.14,29.43,N/A
Course à pied de nuit,2024-06-27T21:42:21Z,166.4,1439,5.03,18.8,12.62,19.36,N/A
Course à pied avec double J,2024-06-23T17:40:21Z,156.3,4808,11.13,60.2,10.95,31.19,N/A
Course à pied en soirée,2024-06-20T19:13:29Z,163.8,2504,7.59,45.3,11.61,16.93,N/A
La montre pete un cable,2024-06-18T19:29:31Z,180.0,466,7.35,10.5,56.79,14.14,N/A
Course à pied en soirée,2024-05-30T19:08:06Z,177.2,1503,5.04,40.4,12.06,17.52,N/A
Night Run,2024-04-15T20:52:49Z,N/A,1374,5.0,22.5,13.33,19.31,N/A
Morning Run,2023-03-26T09:25:21Z,N/A,2108,5.92,5.4,10.17,15.37,N/A
Course à pied dans l'après-midi,2023-02-28T17:48:22Z,161.9,933,2.79,22.6,10.83,27.86,N/A
Afternoon Run,2023-02-28T17:35:13Z,N/A,2234,5.44,85.4,9.68,14.42,N/A
Course à pied le matin,2023-02-21T07:45:19Z,173.1,1594,4.72,28.8,11.67,20.14,N/A
Course à pied le matin,2023-02-05T07:53:28Z,156.7,2503,7.24,46.6,10.74,24.66,N/A
À la fraiche ,2023-01-22T07:53:40Z,144.9,1751,4.33,40.4,9.76,22.34,N/A
Course à pied en soirée,2023-01-20T18:09:51Z,173.5,3847,12.75,48.6,12.64,20.31,N/A
Afternoon Run,2022-12-20T14:43:33Z,N/A,2063,5.5,6.4,9.66,15.15,N/A
Avec le Val,2022-11-27T08:25:09Z,151.5,1993,4.95,31.2,9.15,17.64,N/A
Course à pied en soirée,2022-09-15T18:28:30Z,156.8,2746,5.29,39.9,7.52,25.29,N/A
Course à pied de nuit,2022-08-30T21:23:22Z,158.6,427,1.81,0.0,15.53,21.74,N/A
